learnerID,sitesVisited,step,pr(rr),pr(fr),pr(sr),randomNumber
1,4,0,0.238,0.877,0.163,0.711578
1,4,1,0.238,0.877,0.163,0.490509
1,4,2,0.238,0.877,0.163,0.945007
1,4,3,0.238,0.877,0.163,0.818695
2,8,0,0.201,0.881,0.16,0.498901
2,8,1,0.201,0.881,0.16,0.849579
2,8,2,0.201,0.881,0.16,0.942627
2,8,3,0.201,0.881,0.16,0.454681
2,8,4,0.201,0.881,0.16,0.062592
2,8,4,0.201,0.881,0.16,0.561798
2,8,4,0.201,0.881,0.16,0.372711
2,8,5,0.201,0.881,0.16,0.69458
2,8,6,0.201,0.881,0.16,0.220337
2,8,7,0.201,0.881,0.16,0.138947
2,8,7,0.201,0.881,0.16,0.932953
3,10,0,0.215,0.875,0.15,0.608978
3,10,1,0.215,0.875,0.15,0.023926
3,10,1,0.215,0.875,0.15,0.849823
3,10,1,0.215,0.875,0.15,0.271149
3,10,2,0.215,0.875,0.15,0.923431
3,10,3,0.215,0.875,0.15,0.347534
3,10,4,0.215,0.875,0.15,0.228394
3,10,5,0.215,0.875,0.15,0.408997
3,10,6,0.215,0.875,0.15,0.824646
3,10,7,0.215,0.875,0.15,0.705841
3,10,8,0.215,0.875,0.15,0.106628
3,10,8,0.215,0.875,0.15,0.438293
3,10,8,0.215,0.875,0.15,0.521027
3,10,9,0.215,0.875,0.15,0.362213
4,13,0,0.229,0.865,0.154,0.404236
4,13,1,0.229,0.865,0.154,0.492279
4,13,2,0.229,0.865,0.154,0.060333
4,13,2,0.229,0.865,0.154,0.685516
4,13,2,0.229,0.865,0.154,0.46228
4,13,3,0.229,0.865,0.154,0.78653
4,13,4,0.229,0.865,0.154,0.269867
4,13,5,0.229,0.865,0.154,0.411438
4,13,6,0.229,0.865,0.154,0.550659
4,13,7,0.229,0.865,0.154,0.086945
4,13,7,0.229,0.865,0.154,0.284668
4,13,7,0.229,0.865,0.154,0.633911
4,13,8,0.229,0.865,0.154,0.44931
4,13,9,0.229,0.865,0.154,0.067688
4,13,9,0.229,0.865,0.154,0.146667
4,13,9,0.229,0.865,0.154,0.813721
4,13,10,0.229,0.865,0.154,0.30899
4,13,11,0.229,0.865,0.154,0.39325
4,13,12,0.229,0.865,0.154,0.928802
5,9,0,0.22,0.871,0.172,0.481903
5,9,1,0.22,0.871,0.172,0.52182
5,9,2,0.22,0.871,0.172,0.231842
5,9,3,0.22,0.871,0.172,0.179901
5,9,3,0.22,0.871,0.172,0.621521
5,9,3,0.22,0.871,0.172,0.075562
5,9,3,0.22,0.871,0.172,0.914856
5,9,4,0.22,0.871,0.172,0.961792
5,9,5,0.22,0.871,0.172,0.258453
5,9,6,0.22,0.871,0.172,0.835449
5,9,7,0.22,0.871,0.172,0.036896
5,9,7,0.22,0.871,0.172,0.441772
5,9,7,0.22,0.871,0.172,0.671661
5,9,8,0.22,0.871,0.172,0.878571
6,19,0,0.22,0.863,0.181,0.44046
6,19,1,0.22,0.863,0.181,0.366272
6,19,2,0.22,0.863,0.181,0.829132
6,19,3,0.22,0.863,0.181,0.448914
6,19,4,0.22,0.863,0.181,0.996887
6,19,5,0.22,0.863,0.181,0.204926
6,19,5,0.22,0.863,0.181,0.956177
6,19,6,0.22,0.863,0.181,0.077179
6,19,6,0.22,0.863,0.181,0.224182
6,19,6,0.22,0.863,0.181,0.345398
6,19,7,0.22,0.863,0.181,0.668335
6,19,8,0.22,0.863,0.181,0.529999
6,19,9,0.22,0.863,0.181,0.449707
6,19,10,0.22,0.863,0.181,0.005127
6,19,10,0.22,0.863,0.181,0.027679
6,19,10,0.22,0.863,0.181,0.959106
6,19,11,0.22,0.863,0.181,0.612396
6,19,12,0.22,0.863,0.181,0.104614
6,19,12,0.22,0.863,0.181,0.994202
6,19,13,0.22,0.863,0.181,0.21347
6,19,13,0.22,0.863,0.181,0.648865
6,19,13,0.22,0.863,0.181,0.027222
